Stats
Word,Appearances,Pronunciation,Meaning
实体,3,shi2 ti3, /entity/substance/thing that has a material existence (as opposed to a conceptual  virtual or online existence)/the real thing (as opposed to an image or model of it)/
开始,3,kai1 shi3, /to begin/beginning/to start/initial/CL:個 个ge4]/
天,3,tian1, /day/sky/heaven/
不断,3,bu4 duan4, /unceasing/uninterrupted/continuous/constant/
抵押,2,di3 ya1, /to provide (an asset) as security for a loan/to put up collateral/
发布,2,fa1 bu4, /to release/to issue/to announce/to distribute/
售,2,shou4, /to sell/to make or carry out (a plan or intrigue etc)/
再,2,zai4, /again/once more/re-/second/another/then (after sth  and not until then)/
卖,2,mai4, /to sell/to betray/to spare no effort/to show off or flaunt/
成为,2,cheng2 wei2, /to become/to turn into/
建设,2,jian4 she4, /to build/to construct/construction/constructive/
打,2,da3, /to beat/to strike/to hit/to break/to type/to mix up/to build/to fight/to fetch/to make/to tie up/to issue/to shoot/to calculate/to play (a game)/since/from/
施,2,shi1, /to grant/to give/to bestow/to act/to carry out/
更加,2,geng4 jia1, /more (than sth else)/even more/
线,2,xian4, /thread/string/wire/line/CL:條 条tiao2] 股gu3] 根gen1]/
同业,2,tong2 ye4, /same trade or business/person in the same trade or business/
人员,2,ren2 yuan2, /staff/crew/personnel/CL:個 个ge4]/
体系,2,ti3 xi4, /system/setup/CL:個 个ge4]/
主,2,zhu3, /owner/master/host/individual or party concerned/God/Lord/main/to indicate or signify/trump card (in card games)/
投,2,tou2, /to cast/to send/to throw oneself (into the river etc)/to seek refuge/to place oneself into the hands of/
据,2,ju4, /according to/to act in accordance with/to depend on/to seize/to occupy/
从业,2,cong2 ye4, /to practice (a trade)/
不是,2,bu4 shi4, /no/is not/not/
借贷,2,jie4 dai4, /to borrow or lend money/debit and credit items on a balance sheet/
哪里,2,na3 li3, /where?/somewhere/anywhere/wherever/nowhere (negative answer to question)/humble expression denying compliment/
存,2,cun2, /to exist/to deposit/to store/to keep/to survive/
看,2,kan4, /to see/to look at/to read/to watch/to visit/to call on/to consider/to regard as/to look after/to treat (an illness)/to depend on/to feel (that)/(after verb) to give it a try/Watch out! (for a danger)/
现金,2,xian4 jin1, /cash/
改革,2,gai3 ge2, /reform/CL:次ci4] 種 种zhong3] 項 项xiang4]/to reform/
防控,2,fang2 kong4, /to prevent and control (e.g. the spread of a communicable disease)/
正,2,zheng4, /straight/upright/proper/main/principal/to correct/to rectify/exactly/just (at that time)/right (in that place)/(math.) positive/
信息,2,xin4 xi1, /information/news/message/
而,2,er2, /and/as well as/and so/but (not)/yet (not)/(indicates causal relation)/(indicates change of state)/(indicates contrast)/
信贷,2,xin4 dai4, /credit/borrowed money/
复杂,2,fu4 za2, /complicated/complex/
受到,2,shou4 dao4, /to receive/to suffer/obtained/given/
弥补,2,mi2 bu3, /to complement/to make up for a deficiency/
而言,2,er2 yan2, /with regard to (preceding phrase)/
与,2,yu4, /to take part in/
加大,2,jia1 da4, /to increase (e.g. one's effort)/
管理,2,guan3 li3, /to supervise/to manage/to administer/management/administration/CL:個 个ge4]/
并,2,bing4, /variant of 並 并bing4]/
指标,2,zhi3 biao1, /(production) target/quota/index/indicator/sign/signpost/(computing) pointer/
策,2,ce4, /variant of 策ce4]/
到底,2,dao4 di3, /finally/in the end/when all is said and done/after all/to the end/to the last/
最近,2,zui4 jin4, /recent/recently/these days/latest/soon/nearest (of locations)/shortest (of routes)/
率,2,shuai4, /to lead/to command/rash/hasty/frank/straightforward/generally/usually/
密集,2,mi4 ji2, /concentrated/crowded together/intensive/compressed/
重,2,zhong4, /heavy/serious/to attach importance to/
通过,2,tong1 guo4, /by means of/through/via/to pass through/to get through/to adopt/to pass (a bill or inspection etc)/to switch over/
没有,2,mei2 you3, /haven't/hasn't/doesn't exist/to not have/to not be/
机制,2,ji1 zhi4, /machine processed/machine made/mechanism/
人,2,ren2, /man/person/people/CL:個 个ge4] 位wei4]/
短,2,duan3, /short/brief/to lack/weak point/fault/
可以,2,ke3 yi3, /can/may/possible/able to/not bad/pretty good/
传统,2,chuan2 tong3, /tradition/traditional/convention/conventional/CL:個 个ge4]/
某,2,mou3, /some/a certain/sb or sth indefinite/such-and-such/
里,2,li3, /li  ancient measure of length  approx. 500 m/neighborhood/ancient administrative unit of 25 families/(Tw) borough  administrative unit between the township 鎮 镇zhen4] and neighborhood 鄰 邻lin2] levels/
当下,2,dang1 xia4, /immediately/at once/at that moment/at the moment/
月,2,yue4, /moon/month/monthly/CL:個 个ge4] 輪 轮lun2]/
去,2,qu4, /to go/to go to (a place)/(of a time etc) last/just passed/to send/to remove/to get rid of/to reduce/to be apart from in space or time/to die (euphemism)/to play (a part)/(when used either before or after a verb) to go in order to do sth/(after a verb of motion indicates movement away from the speaker)/(used after certain verbs to indicate detachment or separation)/
使,2,shi3, /to make/to cause/to enable/to use/to employ/to send/to instruct sb to do sth/envoy/messenger/
换,2,huan4, /to exchange/to change (clothes etc)/to substitute/to switch/to convert (currency)/
空,2,kong4, /to empty/vacant/unoccupied/space/leisure/free time/
不再,2,bu4 zai4, /no more/no longer/
收,2,shou1, /to receive/to accept/to collect/to put away/to restrain/to stop/in care of (used on address line after name)/
检查,2,jian3 cha2, /inspection/to examine/to inspect/CL:次ci4]/
已,2,yi3, /already/to stop/then/afterwards/
基金,2,ji1 jin1, /fund/
上,2,shang4, /on top/upon/above/upper/previous/first (of multiple parts)/to climb/to get onto/to go up/to attend (class or university)/
认,2,ren4, /to recognize/to know/to admit/
银行业,2,yin2 hang2 ye4, /banking/
城,2,cheng2, /city walls/city/town/CL:座zuo4] 道dao4] 個 个ge4]/
制度,2,zhi4 du4, /system (e.g. political  adminstrative etc)/institution/CL:個 个ge4]/
链条,2,lian4 tiao2, /chain/CL:根gen1] 條 条tiao2]/
信用,2,xin4 yong4, /to trust/credit (commerce)/trustworthiness/creditworthiness/
仅,2,jin3, /barely/only/merely/
买,2,mai3, /to buy/to purchase/
需求,2,xu1 qiu2, /requirement/to require/(economics) demand/
公司,2,gong1 si1, /(business) company/company/firm/corporation/incorporated/CL:家jia1]/
挂钩,2,gua4 gou1, /hook (on which to hang sth)/to couple/to link together/to establish contact with/hook/coupling links (e.g. between two railway coaches)/
因为,2,yin1 wei4, /because/owing to/on account of/
影响,2,ying3 xiang3, /influence/effect/to influence/to affect (usually adversely)/to disturb/CL:股gu3]/
代销,2,dai4 xiao1, /to sell as agent/to sell on commission (e.g. insurance policies)/proxy sale (of stocks)/
提出,2,ti2 chu1, /to raise (an issue)/to propose/to put forward/to suggest/to post (on a website)/to withdraw (cash)/
着,2,zhuo2, /to wear (clothes)/to contact/to use/to apply/
去向,2,qu4 xiang4, /the position of sth/whereabouts/
热点,2,re4 dian3, /hot spot/point of special interest/
不少,2,bu4 shao3, /many/a lot/not few/
收入,2,shou1 ru4, /to take in/income/revenue/CL:筆 笔bi3] 個 个ge4]/
们,2,men5, /plural marker for pronouns  and nouns referring to individuals/
费,2,fei4, /to cost/to spend/fee/wasteful/expenses/
责任,2,ze2 ren4, /responsibility/blame/duty/CL:個 个ge4]/
往往,2,wang3 wang3, /often/frequently/
项目,2,xiang4 mu4, /item/project/(sports) event/CL:個 个ge4]/
披露,2,pi1 lu4, /to reveal/to publish/to make public/to announce/
大学生,2,da4 xue2 sheng1, /university student/college student/
或,2,huo4, /maybe/perhaps/might/possibly/or/
四,2,si4, /four/4/
搭,2,da1, /to put up/to build (scaffolding)/to hang (clothes on a pole)/to connect/to join/to arrange in pairs/to match/to add/to throw in (resources)/to take (boat  train)/variant of 褡da1]/
容易,2,rong2 yi4, /easy/likely/liable (to)/
由此,1,you2 ci3, /hereby/from this/
不会,1,bu4 hui4, /improbable/unlikely/will not (act  happen etc)/not able/not having learned to do sth/(coll.) (Tw) don't mention it/not at all/
突变,1,tu1 bian4, /sudden change/mutation/
虚,1,xu1, /emptiness/void/abstract theory or guiding principles/empty or unoccupied/diffident or timid/false/humble or modest/(of health) weak/virtual/in vain/
自负,1,zi4 fu4, /conceited/to take responsibility/
百分点,1,bai3 fen1 dian3, /percentage point/
月份,1,yue4 fen4, /month/
无力,1,wu2 li4, /powerless/lacking strength/
货真价实,1,huo4 zhen1 jia4 shi2, /genuine goods at fair prices/
你我,1,ni3 wo3, /you and I/everyone/all of us (in society)/we (people in general)/
完全,1,wan2 quan2, /complete/whole/totally/entirely/
进入,1,jin4 ru4, /to enter/to join/to go into/
弱势,1,ruo4 shi4, /vulnerable/weak/
即便,1,ji2 bian4, /even if/even though/right away/immediately/
限于,1,xian4 yu2, /to be limited to/to be confined to/
躺,1,tang3, /to recline/to lie down/
依赖,1,yi1 lai4, /to depend on/to be dependent on/
办法,1,ban4 fa3, /means/method/way (of doing sth)/CL:條 条tiao2] 個 个ge4]/
净,1,jing4, /clean/completely/only/net (income  exports etc)/(Chinese opera) painted face male role/
超出,1,chao1 chu1, /to exceed/to overstep/to go too far/to encroach/
期间,1,qi1 jian1, /period of time/time/time period/period/CL:個 个ge4]/
让,1,rang4, /to yield/to permit/to let sb do sth/to have sb do sth/to make sb (feel sad etc)/by (indicates the agent in a passive clause  like 被bei4])/
创新,1,chuang4 xin1, /innovation/to bring forth new ideas/to blaze new trails/
给,1,ji3, /to supply/to provide/
流,1,liu2, /to flow/to disseminate/to circulate or spread/to move or drift/to degenerate/to banish or send into exile/stream of water or sth resembling one/class  rate or grade/
牌照,1,pai2 zhao4, /(business) licence/vehicle licence/car registration/licence plate/
肥,1,fei2, /fat/fertile/loose-fitting or large/to fertilize/to become rich by illegal means/fertilizer/manure/
考评,1,kao3 ping2, /evaluation/to investigate and evaluate/
财务,1,cai2 wu4, /financial affairs/
还,1,huan2, /to pay back/to return/
方,1,fang1, /square/power or involution (mathematics)/upright/honest/fair and square/direction/side/party (to a contract  dispute etc)/place/method/prescription (medicine)/just when/only or just/classifier for square things/abbr. for square or cubic meter/
漏洞,1,lou4 dong4, /leak/hole/gap/loophole/
记者,1,ji4 zhe3, /reporter/journalist/CL:個 个ge4]/
裸照,1,luo3 zhao4, /nude photograph/
之一,1,zhi1 yi1, /one of (sth)/one out of a multitude/one (third  quarter  percent etc)/
放贷,1,fang4 dai4, /to provide loans/
及,1,ji2, /and/to reach/up to/in time for/
应,1,ying4, /to answer/to respond/to comply with/to deal or cope with/
激励,1,ji1 li4, /to encourage/to urge/motivation/incentive/
背景,1,bei4 jing3, /background/backdrop/context/(fig.) powerful backer/CL:種 种zhong3]/
八,1,ba1, /eight/8/
打鼓,1,da3 gu3, /to beat a drum/to play a drum/(fig.) to feel nervous/
违约,1,wei2 yue1, /to break a promise/to violate an agreement/to default (on a loan or contract)/
性,1,xing4, /nature/character/property/quality/attribute/sexuality/sex/gender/suffix forming adjective from verb/suffix forming noun from adjective  corresponding to -ness or -ity/essence/CL:個 个ge4]/
语焉不详,1,yu3 yan1 bu4 xiang2, /to mention sth without elaborating (idiom); not giving details/
差别,1,cha1 bie2, /difference/distinction/disparity/
坦言,1,tan3 yan2, /to say candidly/to acknowledge frankly/
众多,1,zhong4 duo1, /numerous/
层层,1,ceng2 ceng2, /layer upon layer/
遵守,1,zun1 shou3, /to comply with/to abide by/to respect (an agreement)/
被迫,1,bei4 po4, /to be compelled/to be forced/
手,1,shou3, /hand/(formal) to hold/person engaged in certain types of work/person skilled in certain types of work/personal(ly)/convenient/classifier for skill/CL:雙 双shuang1] 隻 只zhi1]/
增长,1,zeng1 zhang3, /to grow/to increase/
强调,1,qiang2 diao4, /to emphasize (a statement)/to stress/
子,1,zi5, /(noun suffix)/
盲从,1,mang2 cong2, /to follow blindly/to conform slavishly/unthinking obedience/
堵,1,du3, /to stop up/(to feel) stifled or suffocated/wall/classifier for walls/
零,1,ling2, /zero/nought/zero sign/fractional/fragmentary/odd (of numbers)/(placed between two numbers to indicate a smaller quantity followed by a larger one)/fraction/(in mathematics) remainder (after division)/extra/to wither and fall/to wither/
殊不知,1,shu1 bu4 zhi1, /little imagined/scarcely realized/
合理,1,he2 li3, /rational/reasonable/fair/
浮利,1,fu2 li4, /mere worldly  superficial gain  such as wealth and fame/
合同,1,he2 tong5, /(business) contract/CL:個 个ge4]/
过程,1,guo4 cheng2, /course of events/process/CL:個 个ge4]/
必然,1,bi4 ran2, /inevitable/certain/necessity/
范围,1,fan4 wei2, /range/scope/limit/extent/CL:個 个ge4]/
市场,1,shi4 chang3, /marketplace/market (also in abstract)/
看来,1,kan4 lai5, /apparently/it seems that/
间,1,jian4, /gap/to separate/to thin out (seedlings)/to sow discontent/
那么,1,na4 me5, /like that/in that way/or so/so/so very much/about/in that case/
长远,1,chang2 yuan3, /long-term/long-range/
要求,1,yao1 qiu2, /to request/to require/to stake a claim/to ask/to demand/CL:點 点dian3]/
统计数据,1,tong3 ji4 shu4 ju4, /statistical data/
惯,1,guan4, /accustomed to/used to/indulge/to spoil (a child)/
拟,1,ni3, /to plan to/to draft (a plan)/to imitate/to assess/to compare/pseudo-/
清楚,1,qing1 chu5, /clear/distinct/to understand thoroughly/to be clear about/
推荐,1,tui1 jian4, /to recommend/recommendation/
季度,1,ji4 du4, /quarter of a year/season (sports)/
考核,1,kao3 he2, /to examine/to check up on/to assess/to review/appraisal/review/evaluation/
实,1,shi2, /real/true/honest/really/solid/fruit/seed/definitely/
瘦,1,shou4, /thin/to lose weight/(of clothing) tight/(of meat) lean/(of land) unproductive/
微,1,wei1, /tiny/miniature/slightly/profound/abtruse/to decline/one millionth part of/micro-/Taiwan pr. wei2]/
中间,1,zhong1 jian1, /between/intermediate/mid/middle/
不切实际,1,bu4 qie4 shi2 ji4, /unrealistic/impractical/
回答,1,hui2 da2, /to reply/to answer/the answer/CL:個 个ge4]/
资产,1,zi1 chan3, /property/assets/
环,1,huan2, /ring/hoop/loop/(chain) link/classifier for scores in archery etc/to surround/to encircle/to hem in/
来,1,lai2, /to come/to arrive/to come round/ever since/next/
化,1,hua4, /to make into/to change into/-ization/to ... -ize/to transform/abbr. for 化學 化学hua4 xue2]/
遗憾,1,yi2 han4, /regret/to regret/to be sorry that/
肯定,1,ken3 ding4, /to be certain/to be positive/assuredly/definitely/to give recognition/to affirm/affirmative (answer)/
还有,1,hai2 you3, /furthermore/in addition/still/also/
拳,1,quan2, /fist/boxing/
当铺,1,dang4 pu4, /pawn shop/CL:家jia1] 間 间jian1]/
地下,1,di4 xia4, /underground/subterranean/covert/
似,1,si4, /old variant of 似si4]/
放,1,fang4, /to put/to place/to release/to free/to let go/to let out/to set off (fireworks)/
专项,1,zhuan1 xiang4, /special/dedicated/
变相,1,bian4 xiang4, /in disguised form/covert/
时代,1,shi2 dai4, /age/era/epoch/period (in one's life)/CL:個 个ge4]/
加码,1,jia1 ma3, /to ratchet up/to raise (expectations etc)/to increase (a quota  a position in the market etc)/to up the ante/(computing) to encode/
画风,1,hua4 feng1, /painting style/
嵌套,1,qian4 tao4, /nested/nesting/
调整,1,tiao2 zheng3, /to adjust/adjustment/revision/CL:個 个ge4]/
房产,1,fang2 chan3, /real estate/the property market (e.g. houses)/
收益率,1,shou1 yi4 lu:4, /earnings rate/earnings yield (finance)/
雾里看花,1,wu4 li3 kan4 hua1, /lit. to look at flowers in the fog (idiom); fig. blurred vision/
看出,1,kan4 chu1, /to make out/to see/
参与,1,can1 yu4, /to participate (in sth)/
撤出,1,che4 chu1, /to withdraw/to leave/to retreat/to pull out/
仍,1,reng2, /still/yet/to remain/
其中,1,qi2 zhong1, /among/in/included among these/
轻松,1,qing1 song1, /light/gentle/relaxed/effortless/uncomplicated/to relax/to take things less seriously/
收紧,1,shou1 jin3, /to tighten up (restrictions etc)/
有所,1,you3 suo3, /somewhat/to some extent/
想,1,xiang3, /to think/to believe/to suppose/to wish/to want/to miss (feel wistful about the absence of sb or sth)/
心里,1,xin1 li5, /chest/heart/mind/
贵金属,1,gui4 jin1 shu3, /precious metal/
成效,1,cheng2 xiao4, /effect/result/
越来越,1,yue4 lai2 yue4, /more and more/
变换,1,bian4 huan4, /to transform/to convert/to vary/to alternate/a transformation/
有效,1,you3 xiao4, /effective/in effect/valid/
如实,1,ru2 shi2, /as things really are/realistic/
汇票,1,hui4 piao4, /bill of exchange/bank draft/
由于,1,you2 yu2, /due to/as a result of/thanks to/owing to/since/because/
同时,1,tong2 shi2, /at the same time/simultaneously/
取,1,qu3, /to take/to get/to choose/to fetch/
管,1,guan3, /to take care (of)/to control/to manage/to be in charge of/to look after/to run/to care about/tube/pipe/woodwind/classifier for tube-shaped objects/particle similar to 把ba3] in 管...叫 constructions/writing brush/(coll.) to/towards/
或者,1,huo4 zhe3, /or/possibly/maybe/perhaps/
流行,1,liu2 xing2, /(of a contagious disease etc) to spread/to propagate/(of a style of clothing  song etc) popular/fashionable/
催,1,cui1, /to urge/to press/to prompt/to rush sb/to hasten sth/to expedite/
过,1,guo5, /(experienced action marker)/
确实,1,que4 shi2, /indeed/really/reliable/real/true/
最为,1,zui4 wei2, /the most/
很,1,hen3, /(adverb of degree)/quite/very/awfully/
落实,1,luo4 shi2, /practical/workable/to implement/to carry out/to decide/
积聚,1,ji1 ju4, /to coalesce/to gather together/to amass/
小,1,xiao3, /small/tiny/few/young/
陷阱,1,xian4 jing3, /pitfall/snare/trap/
明显,1,ming2 xian3, /clear/distinct/obvious/
房价,1,fang2 jia4, /house price/cost of housing/
低,1,di1, /low/beneath/to lower (one's head)/to let droop/to hang down/to incline/
坏账,1,huai4 zhang4, /bad debt/
地位,1,di4 wei4, /position/status/place/CL:個 个ge4]/
务,1,wu4, /affair/business/matter/to be engaged in/to attend to/by all means/
衡量,1,heng2 liang2, /to weigh/to examine/to consider/
措施,1,cuo4 shi1, /measure/step/CL:個 个ge4]/
但是,1,dan4 shi4, /but/however/
实质性,1,shi2 zhi4 xing4, /substantive/substantial/material/considerable/
且,1,qie3, /and/moreover/yet/for the time being/to be about to/both (... and...)/
回归,1,hui2 gui1, /to return to/to retreat/regression (statistics)/
保持,1,bao3 chi2, /to keep/to maintain/to hold/to preserve/
购买,1,gou4 mai3, /to purchase/to buy/
不能,1,bu4 neng2, /cannot/must not/should not/
看不出,1,kan4 bu5 chu1, /can't see/can't make out/unable to tell/
强制,1,qiang2 zhi4, /to enforce/enforcement/forcibly/compulsory/
统计,1,tong3 ji4, /statistics/to count/to add up/
当然,1,dang1 ran2, /only natural/as it should be/certainly/of course/without doubt/
处置,1,chu3 zhi4, /to handle/to take care of/to punish/
推,1,tui1, /to push/to cut/to refuse/to reject/to decline/to shirk (responsibility)/to put off/to delay/to push forward/to nominate/to elect/massage/
易,1,yi4, /easy/amiable/to change/to exchange/
销量,1,xiao1 liang4, /sales volume/
如何,1,ru2 he2, /how/what way/what/
所,1,suo3, /actually/place/classifier for houses  small buildings  institutions etc/that which/particle introducing a relative clause or passive/CL:個 个ge4]/
房屋,1,fang2 wu1, /house/building/CL:所suo3] 套tao4]/
出来,1,chu5 lai5, /(after a verb  indicates coming out  completion of an action  or ability to discern or detect)/
历来,1,li4 lai2, /always/throughout (a period of time)/(of) all-time/
发展,1,fa1 zhan3, /development/growth/to develop/to grow/to expand/
帅,1,shuai4, /handsome/graceful/smart/commander in chief/(coll.) cool!/sweet!/
利用,1,li4 yong4, /to exploit/to make use of/to use/to take advantage of/to utilize/
小金,1,Xiao3 jin1, /Xiaojin county (Tibetan: btsan lha rdzong) in Ngawa Tibetan and Qiang autonomous prefecture 阿壩藏族羌族自治州 阿坝藏族羌族自治州A1 ba4 Zang4 zu2 Qiang1 zu2 zi4 zhi4 zhou1]  northwest Sichuan/
显现,1,xian3 xian4, /appearance/to appear/
推出,1,tui1 chu1, /to push out/to release/to launch/to publish/to recommend/
矛头,1,mao2 tou2, /spearhead/barb/an attack or criticism/
十,1,shi2, /ten/10/
跑马圈地,1,pao3 ma3 quan1 di4, /rushing to stake one's claim in new markets/
获得,1,huo4 de2, /to obtain/to receive/to get/
应运而生,1,ying4 yun4 er2 sheng1, /to emerge to meet a historic destiny (idiom)/to arise at an opportune time/able to take advantage of an opportunity/to rise to the occasion/
作,1,zuo4, /to do/to grow/to write or compose/to pretend/to regard as/to feel/writings or works/
不过,1,bu4 guo4, /only/merely/no more than/but/however/anyway (to get back to a previous topic)/cannot be more (after adjectival)/
加强,1,jia1 qiang2, /to reinforce/to strengthen/to increase/
无,1,wu2, /not to have/no/none/not/to lack/un-/-less/
过重,1,guo4 zhong4, /overweight (luggage)/
防,1,fang2, /to protect/to defend/to guard against/to prevent/
分类,1,fen1 lei4, /classification/
时下,1,shi2 xia4, /at present/right now/
发展中,1,fa1 zhan3 zhong1, /developing/under development/in the pipeline/
不便,1,bu4 bian4, /inconvenient/inappropriate/unsuitable/short of cash/
目前,1,mu4 qian2, /at the present time/currently/
放松,1,fang4 song1, /to loosen/to relax/
提供,1,ti2 gong1, /to offer/to supply/to provide/to furnish/
好听,1,hao3 ting1, /pleasant to hear/
诚信,1,cheng2 xin4, /genuine/honest/in good faith/honesty/integrity/
为此,1,wei4 ci3, /for this reason/with regards to this/in this respect/in order to do this/to this end/
